Traceback (most recent call last):
  File "server.py", line 49, in <module>
    main()
  File "server.py", line 45, in main
    tornado.ioloop.IOLoop.instance().start()
  File "/usr/lib64/python2.6/site-packages/tornado/ioloop.py", line 862, in start
    event_pairs = self._impl.poll(poll_timeout)
KeyboardInterrupt
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.51ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.43ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.43ms
WARNING:tornado.access:404 GET /about/ (140.205.201.40) 0.45ms
WARNING:tornado.access:400 GET / (47.93.112.232) 1.13ms
WARNING:tornado.access:404 GET /master-status (140.205.201.40) 0.60ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.50ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.42ms
WARNING:tornado.access:400 GET / (47.93.112.232) 0.50ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.43ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.50ms
WARNING:tornado.access:400 GET / (47.90.92.26) 1.06ms
WARNING:tornado.access:404 GET /about/ (140.205.201.31) 0.51ms
WARNING:tornado.access:404 GET /master-status (140.205.201.31) 0.49ms
WARNING:tornado.access:404 GET /about/ (140.205.201.31) 0.49ms
WARNING:tornado.access:404 GET /master-status (140.205.201.31) 0.48ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.49ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.48ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.42ms
WARNING:tornado.access:400 GET / (47.92.2.1) 1.03ms
WARNING:tornado.access:400 GET / (80.82.77.139) 0.39ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.52ms
WARNING:tornado.access:404 GET /about/ (140.205.225.188) 0.42ms
WARNING:tornado.access:404 GET /master-status (140.205.225.188) 0.66ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.54ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.46ms
WARNING:tornado.access:400 GET / (113.240.250.156) 0.46ms
WARNING:tornado.access:404 HEAD /admin/ (112.96.97.158) 0.48ms
WARNING:tornado.access:404 HEAD /phpmyadmin/ (112.96.97.158) 0.49ms
WARNING:tornado.access:404 HEAD /phpmyadmin/ (112.96.97.158) 0.50ms
WARNING:tornado.access:404 HEAD /admin/ (112.96.97.158) 0.45ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.49ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.56ms
WARNING:tornado.access:400 GET / (115.159.22.85) 0.40ms
WARNING:tornado.access:400 GET / (101.226.102.97) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.42ms
WARNING:tornado.access:400 GET / (47.93.112.232) 0.55ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.54ms
WARNING:tornado.access:404 GET /about/ (140.205.201.35) 0.48ms
WARNING:tornado.access:400 GET / (114.215.45.101) 0.56ms
WARNING:tornado.access:404 GET /master-status (140.205.201.35) 0.45ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.46ms
WARNING:tornado.access:400 GET / (47.92.2.1) 0.51ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.46ms
WARNING:tornado.access:400 GET / (114.215.45.101) 0.51ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.44ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.40ms
WARNING:tornado.access:400 GET / (180.153.201.66) 0.40ms
WARNING:tornado.access:404 GET http://clientapi.ipip.net/echo.php?info=1234567890 (139.162.81.62) 0.59ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.39ms
WARNING:tornado.access:400 GET / (114.215.45.101) 0.49ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.39ms
WARNING:tornado.access:400 GET / (47.93.90.175) 0.52ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.45ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.52ms
WARNING:tornado.access:404 GET /about/ (140.205.201.33) 0.40ms
WARNING:tornado.access:404 GET /master-status (140.205.201.33) 0.41ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.57ms
WARNING:tornado.access:400 GET / (101.226.66.173) 0.46ms
WARNING:tornado.access:400 GET / (47.93.112.232) 0.54ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.52ms
WARNING:tornado.access:404 GET /recordings/index.php (163.172.99.10) 0.46ms
WARNING:tornado.access:400 GET / (47.93.112.232) 0.44ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.45ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.53ms
WARNING:tornado.access:404 GET /about/ (140.205.201.36) 0.45ms
WARNING:tornado.access:404 GET /master-status (140.205.201.36) 0.46ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.54ms
WARNING:tornado.access:400 GET / (140.207.124.105) 0.47ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.44ms
WARNING:tornado.access:404 GET /.php?-s (14.18.28.9) 0.50ms
WARNING:tornado.access:404 GET /.php?-s (14.18.28.8) 0.55ms
WARNING:tornado.access:400 GET / (47.93.112.232) 0.49ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.51ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.59ms
WARNING:tornado.access:404 GET /about/ (140.205.201.44) 0.96ms
WARNING:tornado.access:404 GET /master-status (140.205.201.44) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.65ms
WARNING:tornado.access:400 GET / (114.215.45.79) 0.43ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.56ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.19) 0.54ms
WARNING:tornado.access:400 GET / (119.23.127.40) 0.50ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.47ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.49ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (123.126.94.201) 0.46ms
WARNING:tornado.access:400 GET / (116.62.176.205) 1.08ms
WARNING:tornado.access:400 GET / (101.226.68.213) 0.46ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.230.190) 0.43ms
WARNING:tornado.access:400 GET / (116.62.176.205) 0.48ms
WARNING:tornado.access:404 GET http://106.2.112.147/proxyip/check (106.38.231.218) 0.51ms
